Acquisition_1,Acquisition_2,Acquisition_3,Acquisition_4,Acquisition_5,Acquisition_6,Acquisition_7,Acquisition_8,Acquisition_9,Acquisition_10,Acquisition_11,Acquisition_12,Acquisition_13,Acquisition_14,Acquisition_15,Acquisition_16,Acquisition_17,Acquisition_18,Acquisition_19,Acquisition_20,Acquisition_21,Acquisition_22,Acquisition_23,Acquisition_24,Acquisition_25
926008140306.29,864294688197.55,753032650046.28,632682285816.61,698204841174.03,871247524450.91,904347394091.76,804049555883.22,687517914136.33,626242163886.22,652827554091.37,719895231996.43,817689087876.16,924738084097.07,861013940959.33,763441466154.34,636146907285.56,670464722274.71,839905380172.04,862414609536.27,690118423113.57,628122133609.04,798061841137.85,640977745405.60,879042156177.72
925972552787.88,864201382375.69,753011558300.08,632692522702.93,698296278202.59,871322282704.09,904361804152.13,804006038762.35,687458706538.50,626289723837.21,652890972265.46,719915861384.65,817795441144.52,924710878889.00,860938365772.28,763339280571.72,636100480144.81,670495965077.05,839949881609.71,862292091627.19,689993100228.86,628103113614.22,798109500271.44,640891974963.00,879028448441.06
925917342807.74,864146182480.64,752990447761.29,632710513175.46,698387738877.40,871396988609.52,904405450661.92,803962467697.17,687422114643.50,626350931543.77,652954424693.22,719898524242.38,817940305670.81,924667659327.91,860856376842.75,763237079662.96,636051412352.46,670519464839.29,839958473843.39,862146356654.75,689849200934.09,628061529650.43,798134500935.68,640808962087.30,878977122783.34
925901399230.80,864080096653.57,752969318105.94,632728573003.11,698440760762.26,871478338497.51,904478332858.78,803894547872.27,687408151464.58,626387082173.81,653007120837.18,719843227699.01,818123690387.82,924608464984.59,860767995664.05,763132834861.64,635999720303.51,670542980861.78,839931162903.18,862016423345.49,689686680196.17,627997330815.78,798136806856.82,640690664820.75,878888168066.51
925865870284.86,864003154540.84,752948171114.34,632709495314.57,698455347223.63,871566316506.04,904588414927.76,803826581509.98,687416838552.58,626398172296.62,653049067175.13,719750079380.52,818345603693.91,924533338810.30,860673249697.41,763026579686.80,635945436263.40,670574265565.49,839867981554.22,861863307871.90,689505570074.08,627910552624.97,798116467371.09,640537113112.14,878761576404.11
925850060115.51,863915390636.29,752927009410.73,632660979207.81,698431505223.23,871624039210.10,904727743640.85,803758571005.25,687464687908.95,626384200303.47,653091037977.07,719619056375.00,818606053072.62,924442323868.02,860572177852.59,762918352830.90,635888594186.61,670597847356.20,839768972359.97,861687107792.25,689305993808.81,627801301018.87,798073602375.36,640348840631.68,878597341945.63
925814731276.98,863816844115.30,752905835652.25,632642005160.53,698446164624.11,871688308719.94,904896321355.34,803690518708.62,687551704337.66,626345168170.67,653171095089.89,719450127788.18,818905045125.32,924328234717.50,860464827035.51,762808196074.54,635796614458.41,670613745670.37,839634152684.79,861534063689.90,689087991355.56,627692153375.33,798008249308.39,640163443592.03,878395460346.26
925759923006.48,863756476984.34,752884652185.41,632652556777.81,698422403926.35,871715431656.29,905094150993.60,803622426825.11,687599668067.62,626281083999.36,653223821009.35,719243284947.52,819242585788.61,924191037398.38,860351245842.07,762696154907.79,635702138018.14,670621982808.09,839463533461.87,861357970253.30,688851597341.99,627560565592.69,797920442061.17,639980873823.98,878155928376.57
925665928963.17,863668880286.00,752869760165.46,632700356629.59,698372575403.27,871779256546.87,905321236766.77,803554297363.33,687608583112.86,626191962332.64,653314622935.41,719008731844.41,819618680579.91,924030700866.00,860231484185.06,762582279639.41,635572576154.24,670593091417.21,839257126904.53,861158861443.35,688596851383.88,627429094734.14,797810219061.83,639763096150.51,877878743659.87
925591531494.16,863619429710.08,752848562266.24,632785420331.85,698296679394.58,871879868881.37,905577584603.90,803486132118.39,687617562107.32,626077821597.05,653443517784.17,718746462079.88,820033334795.84,923847197194.87,860081386018.90,762433627169.15,635407949796.32,670527080799.60,839014947016.89,860936774643.58,688323798677.87,627297740011.93,797677623279.95,639510097616.98,877563904508.87
925497696357.70,863542705759.32,752821061331.74,632907763630.69,698246930557.55,872017282796.76,905825920855.74,803417932675.44,687626605872.54,625963777716.97,653545102866.37,718522158619.05,820422259542.56,923624630474.10,859925154977.29,762250224355.01,635208281159.52,670423960567.86,838737009296.13,860691750881.58,688032489925.74,627166500959.02,797522701972.77,639224611440.31,877211409827.53
925384466835.92,863476775614.72,752763135842.26,633067400153.40,698223326386.73,872154640064.52,906066261531.58,803325416504.06,687635715044.97,625888542617.50,653619380833.42,718270136016.02,820785477653.63,923425232426.10,859762845075.51,762032099290.40,634973593834.13,670283740903.54,838423330512.24,860423834873.38,687722981268.89,627035377275.05,797345506551.75,638906642776.28,876849892255.42
925251890009.46,863383520638.09,752735632078.92,633197657957.39,698225868452.93,872291942255.25,906277218860.02,803208592075.38,687644890137.38,625799780545.70,653666351858.54,717980188170.03,821123015048.55,923249031173.03,859564023954.59,761779281371.97,634703912837.71,670106432681.91,838073928588.85,860133075026.24,687395334263.20,626904368753.04,797151880357.52,638556199814.84,876450720365.49
